age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,Days in jail,c_days_from_compas,is_recid,r_days_from_arrest,violent_recid,is_violent_recid,decile_score.1,v_decile_score,priors_count.1,start,end,event,two_year_recid,High,Low,Language_Spanish,sex_Male,race_White,c_charge_degree_M,age_cat_young,age_cat_old
42,0,7,0,0,0,0,7,1,0,0,0,0,7,4,0,7,1185,0,0,0,1,0,1,0,1,0,1
35,0,4,0,0,1,-1,1,1,0,0,0,0,4,2,1,0,1185,0,0,0,1,0,0,1,1,1,0
26,0,2,0,0,0,-1,1,1,0,0,0,0,2,3,0,0,1185,0,0,0,1,0,1,1,1,1,0
36,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1185,0,0,0,1,0,0,0,1,1,0
40,0,9,0,0,5,0,55,1,1,0,0,0,9,10,5,305,774,1,1,1,0,0,1,0,0,0,1
27,0,9,0,0,3,-1,9,1,1,1,0,1,9,5,3,8,360,1,1,0,0,0,1,0,0,1,0
27,0,9,0,1,2,-1,1,1,1,0,1,0,9,4,2,0,370,0,0,0,1,0,1,0,1,1,0
56,0,8,0,0,1,-1,170,1,0,0,0,0,8,3,1,384,1185,0,0,0,1,0,0,1,0,0,1
48,0,1,0,0,5,0,0,9,1,0,0,0,1,2,5,0,389,1,1,0,1,0,1,0,1,0,1
60,0,1,0,0,1,0,0,22,0,0,0,0,1,1,1,0,1185,0,0,0,1,0,1,1,1,0,1
31,0,6,0,0,5,0,37,0,1,8,0,0,6,6,5,37,55,0,1,0,0,0,1,0,0,1,0
41,0,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1185,0,0,0,1,0,0,1,1,0,1
28,0,9,0,0,1,-1,39,1,0,0,0,0,9,7,1,38,889,0,0,0,0,0,0,0,0,1,0
32,0,7,0,0,3,-1,8,1,1,0,0,0,7,3,3,7,413,0,1,0,1,0,1,0,0,1,0
48,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1185,0,0,0,1,0,0,0,1,0,1
33,0,1,0,0,0,-1,84,1,1,0,0,1,1,2,0,83,499,1,1,0,1,0,1,0,0,1,0
38,0,3,0,0,0,53,0,6,1,0,0,0,3,3,0,0,53,0,1,0,1,0,1,1,0,1,0
37,0,6,0,0,13,-1,2,1,1,0,0,0,6,3,13,1,881,1,0,0,1,0,0,0,0,1,0
23,0,9,0,1,0,0,19,1,1,1,1,1,9,9,0,19,508,1,1,1,0,0,1,1,0,1,0
30,0,6,0,0,6,0,1,0,1,0,0,0,6,4,6,1,476,1,1,0,1,0,1,0,0,1,0
44,0,2,0,0,0,-1,4,1,0,0,0,0,2,2,0,3,1184,0,0,0,1,0,1,0,0,0,1
38,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1184,0,0,0,1,0,0,0,0,1,0
49,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1184,0,0,0,1,0,1,0,1,0,1
29,0,5,0,0,0,-1,7,1,1,0,0,0,5,4,0,6,707,1,1,0,1,0,1,0,0,1,0
42,0,1,0,0,3,-1,1,1,0,0,0,0,1,1,3,0,1184,0,0,0,1,0,1,0,0,0,1
56,0,1,0,0,0,-2,1,3,1,0,0,1,1,1,0,0,471,1,1,0,1,0,1,1,1,0,1
53,0,2,0,0,1,-1,1,1,0,0,0,0,2,2,1,0,1184,0,0,0,1,0,1,0,1,0,1
24,0,3,0,0,1,0,0,8,0,0,0,0,3,4,1,0,1184,0,0,0,1,0,0,1,0,1,0
46,0,3,0,0,13,-1,142,1,0,0,0,0,3,2,13,141,1184,0,0,0,1,0,1,0,0,0,1
27,0,7,0,0,2,-1,83,169,0,0,0,0,7,6,2,82,874,0,0,0,0,0,1,0,0,1,0
25,0,5,0,0,2,-1,27,1,0,0,0,0,5,3,2,26,1184,0,0,0,1,0,1,0,0,1,0
50,0,1,0,0,2,0,0,1,0,0,0,0,1,1,2,0,1184,0,0,0,1,0,1,1,1,0,1
24,0,6,1,2,2,561,0,394,0,0,2,0,6,7,2,0,561,0,0,0,0,0,1,0,1,1,0
34,0,2,0,0,3,47,8,11,1,0,0,0,2,1,3,0,47,1,1,0,1,0,1,1,0,1,0
24,0,2,0,0,0,0,0,1,0,0,0,0,2,3,0,0,1184,0,0,0,1,0,1,0,0,1,0
29,0,1,0,0,0,-1,1,1,0,0,0,0,1,2,0,0,1184,0,0,0,1,0,1,0,0,1,0
60,0,3,0,0,9,0,385,0,1,0,0,0,3,1,9,0,33,1,1,0,1,0,0,1,0,0,1
29,0,9,0,0,8,149,79,146,1,0,0,0,9,7,8,0,149,1,1,0,0,0,1,1,1,1,0
25,0,3,0,0,1,188,37,55,0,0,0,0,3,4,1,0,188,0,0,0,1,0,1,0,0,1,0
33,0,7,0,0,7,0,79,1,1,0,0,1,7,9,7,79,194,1,1,1,0,0,1,0,0,1,0
31,0,5,0,0,3,716,1,1,1,0,0,0,5,2,3,0,464,1,1,0,1,0,1,0,0,1,0
31,0,5,0,0,1,-1,11,1,1,0,0,0,5,4,1,10,29,1,1,0,1,0,0,1,1,1,0
28,0,8,0,0,9,-1,37,1,1,0,0,0,8,6,9,36,912,1,0,0,0,0,1,0,0,1,0
56,0,1,0,0,1,0,0,1,0,0,0,0,1,2,1,0,1184,0,0,0,1,0,1,0,1,0,1
28,0,2,0,0,0,0,0,5,0,0,0,0,2,3,0,0,1183,0,0,0,1,0,1,0,1,1,0
33,0,7,0,0,2,-1,259,1,0,0,0,0,7,7,2,258,1183,0,0,0,0,0,1,0,0,1,0
27,1,8,0,0,6,0,0,0,1,0,0,0,8,5,6,0,12,1,1,0,0,0,1,0,0,1,0
30,0,5,0,0,6,-1,1,1,1,862,0,0,5,3,6,0,20,1,1,0,1,0,1,0,0,1,0
48,0,9,0,0,5,-1,243,1,1,0,0,0,9,2,5,464,550,0,1,0,1,0,1,0,0,0,1
32,0,5,0,0,8,31,1,313,1,0,0,0,5,4,8,0,31,1,1,0,1,0,1,1,1,1,0
21,0,4,0,0,0,-1,4,1,0,0,0,0,4,6,0,3,1183,0,0,0,0,0,1,0,1,1,0
25,0,4,0,0,1,-1,1,1,1,1,0,1,4,5,1,0,66,0,1,0,0,0,1,0,0,1,0
71,0,7,0,0,12,0,0,804,0,0,0,0,7,3,12,0,1183,0,0,0,1,0,1,0,1,0,1
55,0,7,0,0,3,-1,36,1,1,1,0,0,7,2,3,35,52,1,1,0,1,0,1,1,0,0,1
29,0,10,0,0,6,-1,40,1,1,0,0,0,10,9,6,39,257,1,1,1,0,0,1,0,0,1,0
24,0,8,0,0,1,0,14,1,1,0,0,0,8,6,1,14,61,1,1,0,0,0,1,0,1,1,0
53,0,4,0,0,8,-1,5,1,0,0,0,0,4,3,8,4,12,0,0,0,1,0,1,1,1,0,1
23,0,9,0,0,2,-1,6,1,1,71,0,0,9,7,2,5,234,1,1,0,0,0,1,0,0,1,0
35,0,3,0,0,5,-1,1,1,0,0,0,0,3,2,5,0,1145,0,0,0,1,0,1,0,0,1,0
23,0,6,0,1,3,18,245,4,1,5,1,0,6,6,3,0,13,1,1,0,0,0,1,1,0,1,0
25,0,5,0,1,2,0,1,1,0,0,1,0,5,4,2,1,81,0,0,0,1,0,1,1,0,1,0
31,0,6,0,0,1,650,7,22,0,0,0,0,6,6,1,0,650,0,0,0,0,0,1,0,0,1,0
25,0,6,0,0,6,-1,6,1,1,136,0,0,6,5,6,5,523,0,0,0,0,0,1,0,0,1,0
48,0,3,0,0,4,-1,1,1,0,0,0,0,3,3,4,0,1183,0,0,0,1,0,1,0,0,0,1
32,0,6,0,0,3,0,0,653,0,0,0,0,6,3,3,0,1133,0,0,0,1,0,1,0,1,1,0
29,0,7,0,0,5,-1,5,1,1,0,0,0,7,5,5,4,20,1,1,0,0,0,1,0,0,1,0
27,0,5,0,0,2,-1,15,1,1,0,0,0,5,3,2,14,22,1,1,0,1,0,1,0,1,1,0
38,0,6,0,0,1,0,15,1,0,0,0,0,6,3,1,15,1183,0,0,0,1,0,1,1,1,1,0
31,3,10,0,0,6,-1,31,1,1,0,0,1,10,6,6,30,175,1,1,0,0,0,1,0,0,1,0
24,0,7,1,0,1,-1,33,1,0,0,0,0,7,7,1,32,1182,0,0,0,0,0,1,0,0,1,0
30,0,8,0,0,5,-1,6,30,1,0,0,0,8,3,5,5,493,1,1,0,1,0,1,0,1,1,0
36,0,5,0,0,6,-1,84,1,0,0,0,0,5,5,6,83,1182,0,0,0,0,0,1,0,0,1,0
35,0,8,0,0,12,-1,1,1,1,245,0,0,8,7,12,0,382,0,1,0,0,0,1,0,0,1,0
22,0,5,0,0,0,-1,2,1,0,0,0,0,5,6,0,1,1182,0,0,0,0,0,0,1,1,1,0
45,0,1,0,0,0,-1,1,1,0,0,0,0,1,1,0,0,1182,0,0,0,1,0,1,1,1,0,1
36,0,10,0,0,4,-1,1,1,1,0,0,0,10,6,4,0,636,1,1,0,0,0,0,0,0,1,0
62,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,2,444,0,0,0,1,0,1,1,0,0,1
26,0,10,1,1,9,-1,2,1,1,0,1,0,10,9,9,1,384,1,1,1,0,0,1,0,1,1,0
27,0,5,0,0,0,0,2,0,0,0,0,0,5,4,0,2,1181,0,0,0,1,0,1,1,1,1,0
55,0,4,0,0,5,-1,301,1,0,0,0,0,4,3,5,300,1181,0,0,0,1,0,1,0,0,0,1
45,0,1,0,0,4,-1,4,2,1,0,0,0,1,1,4,3,544,1,1,0,1,0,1,1,1,0,1
45,0,6,0,0,3,104,219,23,0,0,0,0,6,4,3,0,104,0,0,1,0,0,1,0,0,0,1
83,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1181,0,0,0,1,0,1,0,1,0,1
28,1,10,1,0,5,-1,137,1,0,0,0,0,10,10,5,136,1181,0,0,1,0,0,1,0,0,1,0
49,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1181,0,0,0,1,0,0,0,0,0,1
31,2,6,0,0,6,-1,26,1,0,0,0,0,6,6,6,25,1181,0,0,0,0,0,1,0,0,1,0
55,0,5,0,0,3,-1,70,142,1,15,0,0,5,3,3,69,490,0,1,0,1,0,1,0,1,0,1
46,0,1,0,0,5,-1,202,1,1,0,0,0,1,1,5,201,467,1,1,0,1,0,1,0,0,0,1
44,0,4,0,0,4,0,1,0,0,0,0,0,4,4,4,1,1181,0,0,0,1,0,1,1,1,0,1
40,0,1,0,0,0,-1,1,1,0,0,0,0,1,1,0,0,1181,0,0,0,1,0,1,0,1,0,1
61,0,1,0,0,0,-1,1,1,0,0,0,0,1,1,0,0,1181,0,0,0,1,0,1,0,0,0,1
38,0,2,0,0,0,-1,1,1,0,0,0,0,2,1,0,0,1181,0,0,0,1,0,0,0,1,1,0
28,0,5,0,0,1,0,0,1248,0,0,0,0,5,5,1,0,1181,0,0,0,0,0,1,0,1,1,0
30,0,5,0,0,3,-1,2,1,1,0,0,1,5,5,3,1,428,0,1,0,0,0,1,0,1,1,0
36,0,1,0,0,1,-1,1,1,1,0,0,0,1,1,1,0,229,0,1,0,1,0,1,0,1,1,0
27,0,6,0,0,2,530,0,310,1,0,0,0,6,5,2,0,530,0,1,0,0,0,1,0,1,1,0
40,0,10,0,0,0,0,4,0,1,0,0,1,10,9,0,4,83,1,1,1,0,0,1,0,0,0,1
19,1,6,1,0,1,140,1,100,1,1,0,1,6,8,1,0,139,1,1,1,0,0,0,1,1,1,0
27,0,2,0,0,0,-1,2,1,0,0,0,0,2,2,0,1,1180,0,0,0,1,0,1,0,1,1,0
42,0,7,0,0,17,-1,52,0,1,0,0,0,7,4,17,51,389,1,1,0,1,0,1,0,1,0,1
34,0,8,0,0,13,-1,19,1,1,0,0,1,8,3,13,18,65,1,1,0,1,0,1,1,0,1,0
35,0,3,0,0,2,0,0,0,1,0,0,0,3,4,2,0,922,0,0,0,1,0,1,1,1,1,0
39,0,3,0,0,1,-3,0,4,0,0,0,0,3,4,1,0,137,0,0,1,0,0,1,1,0,1,0
39,0,5,0,0,0,-1,2,1,0,0,0,0,5,2,0,1,1180,0,0,0,1,0,1,1,1,1,0
38,0,1,0,0,1,0,0,94,0,0,0,0,1,1,1,0,1180,0,0,0,1,0,1,0,1,1,0
29,0,6,0,0,5,0,1,0,1,0,0,0,6,3,5,1,253,1,1,0,1,0,1,0,0,1,0
30,0,4,0,0,2,0,0,0,1,0,0,0,4,3,2,0,77,1,1,0,1,0,1,0,0,1,0
36,0,4,0,0,1,30,107,22,1,0,0,1,4,4,1,0,30,1,1,0,1,0,1,0,0,1,0
30,0,10,3,2,14,0,5,0,1,1,2,1,10,7,14,5,89,0,1,0,0,0,0,0,0,1,0
24,0,6,0,0,1,-1,1,1,0,0,0,0,6,6,1,0,1180,0,0,0,0,0,0,1,0,1,0
39,0,1,0,0,0,-1,1,1,0,0,0,0,1,1,0,0,1180,0,0,0,1,0,0,0,0,1,0
46,1,9,0,1,9,-1,116,1,1,0,1,0,9,7,9,115,154,1,1,0,0,0,1,0,0,0,1
29,0,6,0,0,2,-1,1,1,0,0,0,0,6,3,2,0,1180,0,0,0,1,0,1,0,0,1,0
41,0,2,0,0,1,0,0,35,0,0,0,0,2,1,1,0,1180,0,0,0,1,0,0,1,1,0,1
25,0,9,0,1,2,-1,274,1,0,0,1,0,9,8,2,273,514,0,0,1,0,0,1,0,0,1,0
68,0,1,0,0,0,-1,3,1,0,0,0,0,1,1,0,2,1179,0,0,0,1,0,1,1,1,0,1
22,0,3,0,0,2,-1,32,1,1,1,0,0,3,5,2,31,640,1,1,0,0,0,1,0,0,1,0
21,1,10,0,3,2,0,27,0,1,0,3,0,10,8,2,27,475,0,0,1,0,0,1,1,1,1,0
25,0,5,0,0,1,-1,266,1,0,0,0,0,5,3,1,265,1179,0,0,0,1,0,1,0,0,1,0
21,0,8,0,0,0,-1,2,1,0,0,0,0,8,8,0,1,546,0,0,1,0,0,1,0,0,1,0
38,0,1,0,0,0,-1,1,1,0,0,0,0,1,1,0,0,1179,0,0,0,1,0,1,1,0,1,0
57,0,2,0,0,2,0,0,1,0,0,0,0,2,1,2,0,1179,0,0,0,1,0,1,0,0,0,1
29,0,10,0,0,2,64,2,34,0,0,0,0,10,10,2,0,64,0,0,1,0,0,0,0,0,1,0
49,0,2,0,0,0,0,0,0,1,1,0,0,2,2,0,1,749,1,0,0,1,0,1,0,1,0,1
22,0,6,1,0,1,0,0,1241,0,0,0,0,6,9,1,0,1178,0,0,1,0,0,1,0,1,1,0
50,0,2,0,0,2,-1,9,1,1,0,0,1,2,1,2,8,33,1,1,0,1,0,1,1,0,0,1
31,0,2,0,0,1,-1,2,1,1,0,0,0,2,1,1,1,258,1,1,0,1,0,0,0,1,1,0
22,0,6,1,0,1,0,0,1241,0,0,0,0,6,9,1,0,1178,0,0,1,0,0,1,0,1,1,0
26,0,4,0,0,4,624,15,72,0,0,0,0,4,6,4,0,624,0,0,0,0,0,1,0,1,1,0
38,0,2,0,0,3,0,4,1,1,0,0,0,2,1,3,4,98,1,1,0,1,0,1,0,0,1,0
35,0,2,0,0,5,-1,0,2,0,0,0,0,2,1,5,0,1178,0,0,0,1,0,1,0,1,1,0
29,0,9,0,0,1,-1,290,1,0,0,0,0,9,7,1,289,1178,0,0,0,0,0,1,0,0,1,0
26,0,4,0,0,1,-1,2,1,1,0,0,0,4,5,1,1,43,1,1,0,0,0,1,0,0,1,0
22,0,7,0,0,0,-1,1,1,0,0,0,0,7,7,0,0,320,0,0,0,0,0,1,0,0,1,0
44,0,5,0,0,0,-1,34,1,0,0,0,0,5,4,0,33,1178,0,0,0,1,0,1,0,1,0,1
32,0,10,0,0,8,0,2,1,1,0,0,0,10,5,8,2,57,1,1,0,0,0,1,0,0,1,0
53,0,1,0,0,15,-1,81,1,1,0,0,0,1,2,15,80,153,1,1,0,1,0,1,0,0,0,1
38,1,7,0,1,7,-1,1,1,1,0,1,0,7,2,7,0,2,1,1,0,1,0,1,0,0,1,0
26,0,7,0,0,6,-1,2,1,1,0,0,1,7,6,6,1,588,1,1,0,0,0,1,0,0,1,0
27,2,10,0,0,14,0,2,0,1,34,0,0,10,10,14,2,49,0,1,1,0,0,1,0,0,1,0
55,0,4,0,0,6,1001,37,192,0,0,0,0,4,1,6,0,1001,0,0,0,1,0,0,1,0,0,1
59,0,1,0,0,1,-1,1,1,0,0,0,0,1,1,1,0,1178,0,0,0,1,0,1,0,0,0,1
24,0,3,0,0,1,-1,1,1,1,0,0,0,3,5,1,0,473,1,1,0,0,0,1,0,0,1,0
27,0,3,0,0,0,-2,1,2,1,0,0,1,3,3,0,0,404,1,1,0,1,0,0,0,0,1,0
39,0,2,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1177,0,0,0,1,0,1,1,1,1,0
29,0,1,0,0,1,0,0,0,0,0,0,0,1,2,1,0,1177,0,0,0,1,0,1,0,1,1,0
46,0,2,0,0,1,0,0,72,0,0,0,0,2,1,1,0,1177,0,0,0,1,0,0,0,0,0,1
24,0,2,0,0,0,0,0,1,0,0,0,0,2,3,0,0,1177,0,0,0,1,0,1,0,1,1,0
62,0,1,0,0,0,-1,3,1,0,0,0,0,1,1,0,2,1177,0,0,0,1,0,1,1,0,0,1
45,0,6,0,0,3,104,219,23,0,0,0,0,6,4,3,0,104,0,0,1,0,0,1,0,0,0,1
27,0,3,0,0,0,-1,5,1,0,0,0,0,3,4,0,4,1177,0,0,0,1,0,1,1,0,1,0
30,0,9,0,0,8,0,65,0,1,407,0,0,9,9,8,65,322,1,1,1,0,0,1,0,0,1,0
23,0,3,0,0,0,-1,2,1,0,0,0,0,3,4,0,1,1177,0,0,0,1,0,1,0,0,1,0
25,0,10,0,0,7,-1,43,1,1,0,0,0,10,8,7,42,501,1,1,1,0,0,1,1,0,1,0
28,0,6,0,0,8,-1,3,1,1,0,0,0,6,6,8,2,6,1,1,0,0,0,1,0,0,1,0
37,0,3,0,0,1,0,0,1019,1,0,0,0,3,1,1,0,71,1,1,0,1,0,1,0,0,1,0
28,1,7,2,0,5,-1,2,1,1,0,0,0,7,8,5,1,90,1,1,1,0,0,1,0,0,1,0
25,0,4,0,0,4,-1,183,1,0,0,0,0,4,4,4,325,1177,0,0,0,1,0,1,1,0,1,0
22,0,7,0,0,3,-1,142,1,1,0,0,0,7,6,3,141,320,0,1,0,0,0,1,1,0,1,0
26,0,4,0,0,2,0,2,1,0,0,0,0,4,7,2,2,841,0,0,0,0,0,1,1,0,1,0
26,0,2,0,0,0,-1,1,1,0,0,0,0,2,3,0,0,1177,0,0,0,1,0,1,0,0,1,0
40,0,4,0,0,4,-1,2,1,1,0,0,0,4,1,4,1,564,0,0,0,1,0,0,1,0,0,1
32,0,5,0,0,5,272,7,15,1,0,0,0,5,3,5,0,272,1,1,0,1,0,1,1,0,1,0
34,0,5,0,0,1,-1,1,1,0,0,0,0,5,3,1,0,1177,0,0,0,1,0,1,0,0,1,0
25,0,2,0,0,2,-1,1,1,1,0,0,0,2,3,2,0,698,0,1,0,1,0,1,0,1,1,0
23,0,8,0,0,2,126,1,0,1,77,0,1,8,6,2,0,49,1,1,0,0,0,0,0,1,1,0
57,0,1,0,0,0,-1,78,1,0,0,0,0,1,1,0,77,1177,0,0,0,1,0,0,0,1,0,1
22,0,3,0,0,0,-1,1,1,0,0,0,0,3,6,0,0,1177,0,0,0,0,0,1,0,0,1,0
30,0,9,0,0,8,0,65,0,1,407,0,0,9,9,8,65,322,1,1,1,0,0,1,0,0,1,0
74,0,1,0,0,0,-1,1,1,0,0,0,0,1,1,0,0,1176,0,0,0,1,0,1,1,1,0,1
34,2,9,1,3,21,0,33,0,1,0,3,0,9,6,21,33,514,1,1,0,0,0,1,0,0,1,0
33,0,9,0,0,7,-1,26,1,1,0,0,0,9,9,7,25,275,1,1,1,0,0,0,0,0,1,0
37,0,9,0,0,12,0,0,1,1,0,0,0,9,8,12,0,173,0,1,1,0,0,1,0,0,1,0
36,0,1,0,0,1,-1,41,1,0,0,0,0,1,1,1,40,1176,0,0,0,1,0,1,0,0,1,0
23,0,5,0,0,0,-1,2,1,1,0,0,0,5,5,0,1,340,1,1,0,0,0,0,0,0,1,0
22,0,3,0,0,0,-1,1,1,1,0,0,0,3,5,0,0,69,1,1,0,0,0,1,0,0,1,0
32,0,3,0,0,2,340,78,352,0,0,0,0,3,2,2,0,340,0,0,0,1,0,0,0,0,1,0
36,0,2,0,0,3,-1,1,1,1,0,0,0,2,1,3,0,376,1,1,0,1,0,1,0,0,1,0
22,0,10,1,1,3,-1,1,1,1,0,1,0,10,7,3,0,4,1,1,0,0,0,1,0,1,1,0
33,0,6,0,0,3,-1,7,1,1,0,0,0,6,2,3,6,125,1,1,0,1,0,1,0,0,1,0
46,0,5,0,0,5,0,0,65,0,0,0,0,5,6,5,0,1176,0,0,0,0,0,1,1,0,0,1
25,0,6,1,2,14,-1,1,1,0,0,2,0,6,4,14,0,785,0,0,0,1,0,0,0,0,1,0
47,0,1,0,0,3,-1,2,1,0,0,0,0,1,1,3,1,1176,0,0,0,1,0,1,1,0,0,1
25,0,6,0,0,1,0,0,1,0,0,0,0,6,6,1,0,1176,0,0,0,0,0,1,0,0,1,0
34,0,5,0,0,4,0,1,1,0,0,0,0,5,5,4,1,923,0,0,0,0,0,1,1,0,1,0
36,1,8,0,0,26,-1,1,1,1,1,0,0,8,4,26,0,141,1,1,0,1,0,1,0,0,1,0
25,0,4,0,0,2,-2,1,2,1,0,0,0,4,4,2,0,54,0,1,0,1,0,0,1,1,1,0
24,0,3,0,0,2,-1,33,0,1,0,0,1,3,4,2,32,179,0,1,0,1,0,1,0,1,1,0
44,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1176,0,0,0,1,0,1,0,1,0,1
26,0,5,0,0,1,-1,23,1,1,0,0,0,5,5,1,22,225,1,1,0,0,0,1,0,0,1,0
27,0,5,0,0,7,-1,10,1,1,0,0,0,5,5,7,9,46,0,1,0,0,0,1,0,0,1,0
24,0,3,0,0,1,-1,1,1,0,0,0,0,3,4,1,0,1176,0,0,0,1,0,1,0,0,1,0
46,0,1,0,0,1,339,31,30,1,0,0,1,1,1,1,0,339,1,1,0,1,0,0,1,1,0,1
26,0,10,0,0,3,0,34,1,1,0,0,0,10,10,3,34,684,1,1,1,0,0,1,0,0,1,0
41,2,8,0,1,14,41,6,1,1,0,1,0,8,9,14,0,41,0,1,1,0,0,1,0,1,0,1
29,0,10,0,0,10,-1,109,1,1,44,0,0,10,8,10,108,146,0,1,1,0,0,1,0,1,1,0
39,0,9,4,0,10,-1,41,2994,0,0,0,0,9,3,10,40,238,0,0,0,1,0,1,0,1,1,0
50,0,6,0,0,30,-1,4,1,1,0,0,0,6,3,30,3,13,1,1,0,1,0,0,1,1,0,1
58,0,1,0,0,1,-1,3,1,0,0,0,0,1,1,1,2,388,0,0,0,1,0,1,1,0,0,1
24,0,7,0,0,0,0,0,1,0,0,0,0,7,4,0,0,1175,0,0,0,1,0,1,1,1,1,0
29,0,2,0,0,3,-1,1,1,1,0,0,0,2,3,3,0,340,1,1,0,1,0,1,0,0,1,0
27,0,8,0,0,8,0,0,0,1,1,0,0,8,7,8,0,381,0,0,0,0,0,1,0,1,1,0
51,1,8,0,0,19,-1,3,1,1,0,0,0,8,3,19,2,146,0,1,0,1,0,1,0,0,0,1
30,0,8,0,0,1,-1,1,1,0,0,0,0,8,3,1,0,696,0,0,0,1,0,1,1,0,1,0
30,0,2,0,0,1,-1,35,1,0,0,0,0,2,2,1,34,1175,0,0,0,1,0,1,1,1,1,0
41,0,6,0,0,9,-1,33,1,0,0,0,0,6,2,9,32,1175,0,0,0,1,0,1,1,1,0,1
24,0,3,0,1,0,0,0,1,0,0,1,0,3,5,0,0,1175,0,0,0,0,0,1,0,0,1,0
43,0,7,0,0,2,0,0,1,0,0,0,0,7,6,2,0,1175,0,0,0,0,0,1,0,0,0,1
23,0,7,0,1,10,-1,70,0,1,1,1,0,7,6,10,69,854,1,0,0,0,0,1,1,0,1,0
64,0,3,0,0,0,-1,109,1,0,0,0,0,3,2,0,307,1175,0,0,0,1,0,1,1,0,0,1
22,0,8,1,1,2,-1,12,1,1,0,1,0,8,7,2,11,90,1,1,0,0,0,1,1,0,1,0
52,0,1,0,0,1,-1,1,1,0,0,0,0,1,1,1,0,1175,0,0,0,1,0,1,1,0,0,1
31,3,10,0,1,15,-1,5,1,1,0,1,0,10,4,15,4,16,1,1,0,1,0,1,0,1,1,0
26,0,8,0,0,7,0,0,1,1,1,0,0,8,4,7,0,377,1,1,0,1,0,1,1,0,1,0
22,0,9,0,0,3,-1,34,1,0,0,0,0,9,9,3,33,726,0,0,1,0,0,1,0,0,1,0
31,0,4,0,0,3,-1,1,1,1,0,0,0,4,3,3,0,72,0,1,0,1,0,1,1,1,1,0
49,0,1,0,0,1,0,4,0,0,0,0,0,1,1,1,4,68,0,0,0,1,0,1,1,1,0,1
35,0,1,0,0,0,-1,1,1,0,0,0,0,1,1,0,0,1174,0,0,0,1,0,1,0,0,1,0
61,0,1,0,0,1,-1,1,1,0,0,0,0,1,1,1,0,1174,0,0,0,1,0,1,1,1,0,1
40,0,7,0,0,10,-1,5,1,1,0,0,0,7,5,10,4,44,1,1,0,0,0,1,1,0,0,1
38,0,2,0,0,0,0,1,0,0,0,0,0,2,2,0,1,1174,0,0,0,1,0,1,0,0,1,0
52,0,1,0,0,0,-1,1,1,0,0,0,0,1,1,0,0,1174,0,0,0,1,0,0,1,1,0,1
